iter	Passed	Remaining
796	3155	803
797	3159	799
798	3163	795
799	3167	791
800	3170	787
801	3174	783
802	3177	779
803	3180	775
804	3184	771
805	3187	767
806	3191	763
807	3194	758
808	3197	754
809	3200	750
810	3204	746
811	3207	742
812	3211	738
813	3215	734
814	3218	730
815	3223	726
816	3227	722
817	3230	718
818	3233	714
819	3237	710
820	3240	706
821	3244	702
822	3247	698
823	3251	694
824	3254	690
825	3258	686
826	3261	682
827	3265	678
828	3269	674
829	3273	670
830	3277	666
831	3281	662
832	3285	658
833	3288	654
834	3291	650
835	3294	646
836	3298	642
837	3301	638
838	3305	634
839	3308	630
840	3312	626
841	3315	622
842	3318	618
843	3321	613
844	3325	609
845	3328	605
846	3332	602
847	3335	597
848	3339	593
849	3342	589
850	3346	585
851	3349	581
852	3353	577
853	3357	574
854	3361	570
855	3365	566
856	3368	562
857	3372	558
858	3377	554
859	3380	550
860	3384	546
861	3387	542
862	3392	538
863	3395	534
864	3399	530
865	3404	526
866	3408	522
867	3412	518
868	3416	514
869	3420	511
870	3423	507
871	3427	503
872	3430	499
873	3434	495
874	3438	491
875	3441	487
876	3445	483
877	3448	479
878	3452	475
879	3455	471
880	3458	467
881	3461	463
882	3466	459
883	3469	455
884	3473	451
885	3475	447
886	3480	443
887	3484	439
888	3487	435
889	3491	431
890	3495	427
891	3499	423
892	3502	419
893	3506	415
894	3509	411
895	3513	407
896	3516	403
897	3520	399
898	3523	395
899	3527	391
900	3530	387
901	3534	383
902	3537	379
903	3541	376
904	3545	372
905	3548	368
906	3551	364
907	3555	360
908	3559	356
909	3562	352
910	3566	348
911	3569	344
912	3573	340
913	3576	336
914	3580	332
915	3583	328
916	3588	324
917	3591	320
918	3595	316
919	3598	312
920	3601	308
921	3605	305
922	3609	301
923	3612	297
924	3615	293
925	3619	289
926	3622	285
927	3626	281
928	3629	277
929	3632	273
930	3635	269
931	3638	265
932	3642	261
933	3645	257
934	3649	253
935	3652	249
936	3656	245
937	3659	241
938	3663	237
939	3667	234
940	3670	230
941	3674	226
942	3677	222
943	3681	218
944	3685	214
945	3688	210
946	3692	206
947	3696	202
948	3699	198
949	3702	194
950	3706	190
951	3709	187
952	3713	183
953	3716	179
954	3719	175
955	3723	171
956	3726	167
957	3730	163
958	3733	159
959	3736	155
960	3740	151
961	3743	147
962	3746	143
963	3750	140
964	3753	136
965	3757	132
966	3761	128
967	3764	124
968	3768	120
969	3771	116
970	3775	112
971	3779	108
972	3782	104
973	3785	101
974	3789	97
975	3792	93
976	3796	89
977	3800	85
978	3804	81
979	3807	77
980	3810	73
981	3814	69
982	3817	66
983	3821	62
984	3824	58
985	3828	54
986	3831	50
987	3835	46
988	3838	42
989	3842	38
990	3845	34
991	3849	31
992	3852	27
993	3856	23
994	3859	19
995	3863	15
996	3866	11
997	3870	7
998	3873	3
999	3878	0
